,station1,net1,station2,net2,ZZ,TT,gcm,az,baz
0,ASK,AJ,BRUN,AJ,True,True,19859.978906503464,329.0917961275049,148.8940957853124
1,ASK,AJ,FERJ,AJ,True,True,33364.56460332592,45.19407959271405,225.6539463918739
2,ASK,AJ,FJAS,AJ,True,True,21140.482954152234,261.9400657609354,81.53743869883992
3,ASK,AJ,FLAT,AJ,True,True,16203.359475739036,25.723291907219924,205.85945937320452
4,ASK,AJ,FLUR,AJ,True,True,29335.772194524572,217.79431793166944,37.45109049932362
5,BRUN,AJ,FERJ,AJ,True,True,34486.24701072958,78.98429947222762,259.64231761831354
6,BRUN,AJ,FJAS,AJ,True,True,22699.97905978354,208.01215661709168,27.806958608368365
7,BRUN,AJ,FLAT,AJ,True,True,17406.172072297308,97.86737534230265,278.20143158911327
8,BRUN,AJ,FLUR,AJ,True,True,40966.10939258361,190.74514641620036,10.59923870957286
9,FERJ,AJ,FJAS,AJ,True,True,51869.927852051645,239.76705231233427,58.9042625658555
10,FERJ,AJ,FLAT,AJ,True,True,18876.99393762392,242.27950398445216,61.95567829998544
11,FERJ,AJ,FLUR,AJ,True,True,62570.19284903625,222.19208674263513,41.38908090111279
12,FJAS,AJ,FLAT,AJ,True,True,33021.44981002936,57.4683037281199,238.00729788586855
13,FJAS,AJ,FLUR,AJ,True,True,20432.114514566467,171.28525973764738,351.3443564950684
14,FLAT,AJ,FLUR,AJ,True,True,45307.74924074859,213.64143580216947,33.16197120274978
